"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"752","49-3011.00","Aircraft Mechanics and Service Technicians",2.61,0.42,1.85,3.64,2.5,0.99,2.88,3.58,3.22,0.97,2.88,3.97,2.98,0.1,0.07,0.55,0.78,0.12,2.34,3.7,6.85,0.41,1.29,0.26,3.42,2.98,2.09,3.21,1.34,0.34,1.55,0.83,3.24
"753","49-3021.00","Automotive Body and Related Repairers",1.82,0.32,0.68,3.4,1.2,1.13,2.82,2.69,2.11,0.46,2.12,2.42,2.91,0.14,0.12,0.32,0.45,0.37,1.27,2.46,4.34,0.37,0.8,0.65,1.24,2.91,1.1,2.51,0.81,0.38,0.8,0.9,1.93
"754","49-3022.00","Automotive Glass Installers and Repairers",2.91,0.06,0.35,1.64,3.3,1.15,2.27,4.15,1.6,1.97,2.63,2.17,2.91,0,0,0.29,1.5,0,0.56,2.22,3.57,0.7,2.14,0.05,1.53,2.05,1.38,2.38,2.61,0.07,1.19,0.99,2.05
"755","49-3023.01","Automotive Master Mechanics",2.58,0.06,1.43,3.06,1.99,1.76,3.99,3.85,3.17,0.67,3.18,3.95,3.34,0,0,0.3,1.13,0.51,2.22,3.23,5.89,0.45,2.17,0.35,3.39,2.7,1.46,2.67,1.98,0.49,1.89,0.43,2.43
"756","49-3023.02","Automotive Specialty Technicians",3.07,0.13,0.88,2.08,2.08,1.2,3.59,4.06,2.55,1.84,2.83,3.24,3.19,0,0.03,0.65,0.54,0.4,1.62,3.05,5.76,0.11,2.07,0.38,2.52,1.95,1.39,2.22,2.36,0.15,1.47,0.14,1.94
"757","49-3031.00","Bus and Truck Mechanics and Diesel Engine Specialists",3.01,0.65,1.83,2.46,2.22,1.4,3.04,3.81,2.41,1.4,3.37,3.97,3.28,0.32,0.47,0.84,0.64,0.31,2.09,3.01,5.61,0.52,1.54,0.26,3.07,2.94,1.46,3.37,1.14,0.35,1.38,0.37,3.88
"758","49-3041.00","Farm Equipment Mechanics and Service Technicians",2.44,0.13,1.47,2.44,1.55,1.25,3.1,3.52,2.44,0.82,2.44,3.25,2.4,0,1.57,0.23,0.73,0.05,1.28,2.61,5.8,0.32,0.58,0.14,3.39,1.68,0.54,1.2,2.6,0.01,0.92,0.13,2.91
"759","49-3042.00","Mobile Heavy Equipment Mechanics, Except Engines",2.3,0.65,2.83,2.94,2.45,1.46,3.85,4.14,2.9,1.14,3.56,3.46,2.6,0,0.67,0.48,0.93,0.26,1.32,3.29,6.46,0.71,1.64,0.19,3.43,2.75,1.22,2.44,1.85,0.16,1.85,0.67,2.65
"760","49-3043.00","Rail Car Repairers",2.17,0.02,1.85,1.68,1.41,1,0.5,2.45,1.71,0.39,2.64,2.06,1.8,0.02,0.39,0.61,0.48,0.25,1.56,2.41,4.82,0.15,1.32,0.46,1.69,2.75,2.09,3.3,0.82,1.27,1.1,0.38,1.59
"761","49-3051.00","Motorboat Mechanics and Service Technicians",3.05,1.18,2.81,2.97,2.76,1.49,3.84,4.42,3.16,1.45,3.33,3.8,3.14,0.17,0.34,0.18,1.46,0.31,2.04,3.42,6.26,0.28,1.7,0.34,3.44,2.6,1.72,2.36,2.32,0.97,1.56,0.52,3.34
"762","49-3052.00","Motorcycle Mechanics",3.25,0.1,0.79,2.67,2.28,1.05,3.89,4,2.22,1.06,3.32,3.01,2.97,0,0,0.17,0.07,0.07,1.28,3.5,6.47,0.11,1.43,0,3.48,2.01,1.43,3.12,2.09,0,1.04,0.12,1.75
"763","49-3053.00","Outdoor Power Equipment and Other Small Engine Mechanics",3.45,0.44,1.64,2.64,3.4,1.68,3.07,3.63,2.48,2.52,2.83,3.5,3.13,0.21,0.36,0.75,0.89,0.64,1.99,2.9,5.35,0.68,2.9,0.52,2.6,2.29,1.89,2.34,3.17,0.32,1.56,0.86,2.15
"764","49-3091.00","Bicycle Repairers",2.83,0.26,2.91,1.07,1.32,0.58,1.84,4.06,3.37,1.39,1.3,3.44,3.8,0.01,0.68,0.23,0.56,0.01,0.3,2.56,5.25,0.02,2.32,0.05,2.7,2.49,1.22,1.22,3.25,0.08,0.3,0.04,1.46
"765","49-3092.00","Recreational Vehicle Service Technicians",2.34,0.21,3.1,2.18,1.4,0.85,2.2,4.19,2.09,0.66,2.16,3,2.13,0,0.02,0.49,0.37,0.11,0.84,1.66,4.98,0.22,1.19,0.16,1.24,2.46,1.02,2.04,2.19,0.18,1.48,0.16,1.83
"766","49-3093.00","Tire Repairers and Changers",2.77,0.23,1.47,1.63,1.84,1.14,2.71,3.44,1.49,0.96,2.74,2.51,2.53,0.19,0.32,0.78,0.6,0.4,2.03,2.57,4.3,0.3,1.71,0.38,1.36,2.8,1.16,2.29,3.28,0.57,1.37,0.38,2.55
"767","49-9011.00","Mechanical Door Repairers",2.28,0.09,4.4,0.7,1.03,0.76,2.49,4.13,3.12,0.59,2.73,3.55,3.05,0.13,0.08,0.22,0.74,0.08,1.33,3.3,4.66,0.38,1.34,0.16,2.38,2.21,0.73,2.9,2.13,0.2,0.84,0.19,1.85
"768","49-9012.00","Control and Valve Installers and Repairers, Except Mechanical Door",2.46,1.44,2.49,2.77,2.82,2.02,3.13,3.5,2.88,1.57,3.24,2.95,2.86,0.04,0.11,0.32,1.47,0.21,1.84,3.14,4.44,0.98,2.17,0.2,3.08,2.59,2.39,3.89,1.88,0.66,2.19,1.14,3.33
"769","49-9021.01","Heating and Air Conditioning Mechanics and Installers",2.92,1.15,4.94,3.48,2.32,1.31,3.25,4.72,4.02,1.24,2.71,3.81,3.08,0.04,0.15,0.81,1.12,0.38,2.28,3.63,5.35,0.55,2.47,0.61,4.14,2.25,1.67,2.79,3.04,0.68,1.51,0.58,1.91
"770","49-9021.02","Refrigeration Mechanics and Installers",3.36,1.05,4.14,3.83,3.55,1.28,3.97,4.21,4.03,1.72,3.44,4.26,2.63,0.02,2.24,0.55,1.96,0.49,3.06,3.88,5.62,0.66,2.5,0.88,4.45,2.95,1.8,2.98,3.27,1.05,1.61,0.59,2.46
"771","49-9031.00","Home Appliance Repairers",2.87,0.48,0.98,2.61,2.82,1.98,3.27,4.89,1.46,2.13,1.7,2.53,2.83,0,0.26,0.64,1.58,0.13,1.54,2.44,4.08,0.08,2.67,0.27,2.43,1.48,0.75,2.21,3.87,0.18,0.69,0.08,2.17
"772","49-9041.00","Industrial Machinery Mechanics",2.84,0.76,4.02,3.26,1.98,1.16,3.81,2.1,4.12,1.6,3.19,4.12,3.39,0.19,1.17,1.34,0.62,0.3,1.57,3.78,5.7,0.55,1.74,0.88,3.37,3.83,1.82,3.1,0.91,0.23,1.88,0.46,1.63
"773","49-9043.00","Maintenance Workers, Machinery",2.8,1.1,3.3,2.73,1.86,1.47,2.87,2.12,3.28,1.13,3.21,3.69,3.09,0.39,1.03,0.54,1.16,0.75,1.71,3.34,5.3,1.16,1.69,1,2.96,2.98,2.1,3.03,0.66,1.2,1.69,1.02,1.97
"774","49-9044.00","Millwrights",3.1,0.94,4.12,3.06,2.16,1,2.34,3.32,3.94,1.12,3.66,4,3.29,0.22,1.31,0.84,1.16,0.47,1.81,4.58,6.48,1.12,2.47,0.47,3.66,3.19,1.91,3.35,1.16,0.91,0.94,1.16,2.35
"775","49-9045.00","Refractory Materials Repairers, Except Brickmasons",1.48,0.38,1.91,2.07,0.77,1.1,1.22,1.35,2.21,0.08,2.38,2.18,2.82,0.02,0.22,0.02,0.48,0.22,1.2,2.57,4.27,0.23,0.92,0.07,1.1,2.5,0.43,2.44,0.44,0.27,0.48,0.01,1.3
"776","49-9051.00","Electrical Power-Line Installers and Repairers",3.16,0.97,2.25,2.05,2.1,1.39,2.39,4.54,2.54,0.82,3.13,2.76,2.74,0.06,0.11,1.02,2.1,0.19,2.14,3.3,4.25,1.69,2.04,1.55,3.24,0.9,2.44,2.7,0.13,1.4,2.59,1.64,2.51
"777","49-9052.00","Telecommunications Line Installers and Repairers",2.71,0.24,2.54,1.17,1.87,2.77,3.96,4.35,2.98,0.92,3.6,2.77,3.78,0.01,0.11,0.91,1.37,0.16,1.15,2.95,3.47,0.2,1.72,0.48,1.7,2.63,1.08,3.63,2.32,0.24,5.54,0.79,2.39
"778","49-9061.00","Camera and Photographic Equipment Repairers",2.38,0,0.66,1.67,2.88,1.97,4.25,4.16,2.41,1.75,3.65,3.23,3.45,1.22,0.26,0.87,0.72,0.62,1.53,2.95,4.59,0.22,2.6,0.76,1.23,2.56,1.57,1.38,3.1,0.75,1.44,0.18,1.18
"779","49-9062.00","Medical Equipment Repairers",3.59,2.4,2.51,2.89,3.03,1.83,4.64,3.72,3.03,1.56,4.45,4,3.28,0.18,0.04,0.75,1.21,0.28,1.56,2.54,5.2,1.57,1.95,1.26,3.05,3.59,1.83,2.67,1.13,1.31,2.09,0.63,1.5
"780","49-9063.00","Musical Instrument Repairers and Tuners",2.73,0.27,0.9,2.73,2.9,1,2.5,3.97,2.67,1.33,2.23,3.1,2.57,2.97,0,0.5,0.03,0.9,0.97,2.67,4.7,0.33,1.27,0,2.03,2.33,1.03,1.13,3.17,0.17,0.7,0.2,0.83
"781","49-9064.00","Watch Repairers",2.81,0,0.73,1.83,2.18,1.24,2.09,3.46,2.29,2.09,2.43,3.45,2.47,0.3,0,0.68,0.09,0.52,1.9,2.68,5.42,0.18,0.8,0.09,2.47,2.63,0.66,0.41,2.79,0.3,0.33,0,1.71
"782","49-9071.00","Maintenance and Repair Workers, General",2.08,1.06,3.81,3,1.47,1.27,2.45,3.72,2.38,0.95,2.18,2.83,3.28,0.17,0.59,0.88,1.86,0.34,1.35,2.9,4.51,0.84,1.64,1.13,2.38,1.93,2.36,3.59,0.65,1.24,1.95,0.83,1.81
"783","49-9081.00","Wind Turbine Service Technicians",3.23,1.41,3.87,2.69,3.37,2.03,4.79,2.53,3.53,1.48,3.56,4.13,3.1,0.07,0.31,0.71,2.07,0.51,1.92,3.55,5.62,1.33,1.96,0.18,3.82,2.32,2.39,3.38,0.82,0.99,3.03,1.11,2.99
"784","49-9091.00","Coin, Vending, and Amusement Machine Servicers and Repairers",3.13,0.2,2.05,1.02,2.02,2.15,2.15,4.45,1.08,1.63,2.76,1.93,3.61,0,2.36,0.27,1.45,0.05,1.55,3.99,3.25,0.31,2.28,0.34,1.02,2.52,1.89,3.15,2.28,1.5,1.26,0.32,2.14
"785","49-9092.00","Commercial Divers",2.34,2.15,4.5,2.62,1.87,1.14,2,3.45,3.03,0.7,3.07,3.45,2.78,0,0,0.15,2.89,0.4,2,3.28,5.01,2.64,1.98,0.23,4.33,2.3,2.21,3.31,1.44,0.31,1.5,1.3,2.38
"786","49-9093.00","Fabric Menders, Except Garment",3,0.27,2.16,2.14,3.64,2.07,3.01,4.01,3.94,2.21,4.51,2.48,4.02,0.56,0,0.8,1.12,1.21,1.62,3.63,3.23,0.06,2,1.21,1.4,3.93,2.29,1.28,2.85,1.2,0.84,0.02,2.01
"787","49-9094.00","Locksmiths and Safe Repairers",3.45,0.18,3.3,2,3.45,2.22,3.78,4.74,3.17,2.09,2.83,2.86,3.22,0.09,0.35,0.74,1.04,0.41,3.48,3.7,4.91,0.43,2.61,0.13,2.59,2.39,2.3,4.52,3.64,1.3,1.96,0.5,2.18
"788","49-9095.00","Manufactured Building and Mobile Home Installers",3.2,1.4,5.18,2.76,1.21,1.63,1.66,4.24,4.85,1.23,3.65,4.13,3.39,1.2,1.21,1.4,2.36,1.2,3.77,3.71,4.45,2.02,2.93,1.21,3,3.08,2.67,4.86,2.44,1.79,2.12,2.23,4.38
"789","49-9096.00","Riggers",2.88,0.32,4.03,1.65,2.43,2.27,1.24,3.88,4.04,2.57,4.39,3.15,2.63,0.1,1.22,0.5,1.09,0.23,1.22,4.03,5.18,1.06,2.54,0.58,2.17,3.82,1.22,2.91,2.99,0.71,2.4,1.11,3.31
"790","49-9097.00","Signal and Track Switch Repairers",1.46,0.4,2.25,2.7,1.73,1.01,4.28,1.51,2.87,0.81,2.87,3.27,3.07,0.08,0.08,0.01,1.12,0.09,1.88,2.66,4.89,0.56,0.82,0.48,2.61,1.04,1.39,3.5,0.2,0.83,2.84,0.13,3.28
"791","49-9098.00","Helpers--Installation, Maintenance, and Repair Workers",1.5,0.68,2.6,2.32,1.55,1.35,2.1,2.67,1.73,0.69,1.58,2.17,2.76,0.23,0.23,0.24,0.59,0.24,1.15,2.82,3.83,0.41,0.81,0.28,2.42,1.5,0.77,2.01,0.72,0.43,1,0.48,1.47
"792","49-9099.01","Geothermal Technicians",1.71,1.2,3.05,4.09,2.48,1.47,3.66,1.6,3.23,0.96,2.7,3.23,3.32,0.06,0.04,1.32,2.24,0.72,2.13,3.79,5.36,0.79,1.3,0.84,4.09,3.45,1.82,3.31,0.43,0.56,2.45,1.19,2.89
"793","51-1011.00","First-Line Supervisors of Production and Operating Workers",3.81,0.07,1.29,1.44,3.02,1.17,3.63,2.94,3.13,1.68,3.65,3.75,2.86,0,0,0.45,0.87,0.01,1.59,3.08,4.87,0.68,3.21,1.16,1.13,4.48,2.99,2.64,1.6,1.29,0.9,2.1,1.22
"794","51-2011.00","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2.75,0.67,1.73,2.34,1.59,1.61,2.72,2.85,3.13,1.61,3.79,2.9,3.15,0.52,0.48,0.75,1.89,0.58,1.73,3.13,3.76,1.06,2.17,0.5,1.93,3.6,1.58,2.91,1.42,0.65,1.17,1.18,2.1
"795","51-2021.00","Coil Winders, Tapers, and Finishers",2.71,0.24,1.08,0.29,0.72,0.46,1.04,1.67,1.56,1.13,3.17,0.69,2.49,0,0.24,0.38,0.35,0.05,1,2.03,2.55,0.32,1.09,0.3,1,2.56,0.52,1.48,1.1,0.36,0.36,0.4,1.01
"796","51-2022.00","Electrical and Electronic Equipment Assemblers",1.47,0,0.54,1.28,0.59,0.21,2.13,1.2,2.73,0.13,1.87,1.8,2.29,0,0,0,0,0,0.22,2.13,3.29,0.57,0.63,0.01,1.15,2.63,0.08,1.56,0.27,0.06,0.25,0.06,0.82
"797","51-2023.00","Electromechanical Equipment Assemblers",3.38,1.16,1.63,2.37,2.09,1.42,2.98,3.49,2.71,1.43,3.71,3.63,3.11,0.74,0.82,0.7,1.29,1,1.19,2.69,4.17,1.39,1.85,1.47,1.64,4.04,2.54,2.53,2.45,1.6,1.54,1.49,1.73
"798","51-2031.00","Engine and Other Machine Assemblers",2.94,0.03,1.99,1.76,1.61,0.82,2.44,3.82,2.66,1.15,3.31,3.14,2.64,0,0.22,0.5,0.55,0.03,1.69,2.93,4.73,0.25,1.53,0.81,1.82,3.76,1.15,2.71,1.67,0.32,0.28,0.35,2.02
"799","51-2041.00","Structural Metal Fabricators and Fitters",2.94,0.5,4.68,1.87,1.46,1.28,1.86,2.66,4.22,0.9,2.91,3.46,2.96,0.1,1.16,0.79,0.57,0.21,1.36,4.17,4.42,1.22,1.97,0.26,2.56,3.38,1.43,2.4,1.06,1.15,1.26,0.71,2.63
"800","51-2091.00","Fiberglass Laminators and Fabricators",2.41,0.11,2.17,3.6,1.44,0.94,1.45,1.48,2.29,1.35,3.17,2.67,2.59,0.2,1.16,1.11,0.96,0.35,1.19,2.14,3.09,0.7,1.42,1.66,1.47,3.18,2.09,2.84,1.09,0.9,1.03,0.75,1.11
"801","51-2092.00","Team Assemblers",0.89,0.01,0.63,1.41,1.02,1.29,1.06,1.48,1.17,0.45,3.51,1.94,2.13,0,0.04,1.02,0.03,0.01,0.13,1.66,1.6,0.02,1.1,0.69,0.83,3.81,0.51,1.23,0.95,0.68,0.27,0.03,0.92
"802","51-2093.00","Timing Device Assemblers and Adjusters",1.45,0,1.41,1.05,0.95,0.69,2.04,2.47,1.46,0.44,3.24,3.51,1.96,0,0,0.25,0.09,0,0.31,3.21,4.64,0,1.14,0,1.84,3.27,1.64,1.28,1.18,0.56,0.29,0,0.77
"803","51-3011.00","Bakers",2.26,0.53,0.9,1.96,1.87,1.37,2.15,3.58,1.97,0.97,2.75,1.68,2.61,1.09,3.99,1.33,0.57,0.89,1.37,2.88,1.55,0.34,1.67,1,1.67,4.26,1.16,2.04,2.3,0.89,1.12,0.67,1.38
"804","51-3021.00","Butchers and Meat Cutters",2.01,1.11,0.26,0.99,1.44,0.57,0.94,3.62,0.32,1.05,2.57,0.31,1.68,0,3.64,0.33,0.64,0.08,1.7,2.54,2.81,0.41,1.79,0.97,0.06,3.99,1.52,1.03,2.15,0.67,0.3,0.51,0.85
"805","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers",1.99,1.95,1.86,2.34,1.34,0.63,1.46,3.6,1.5,1.47,2.36,1.98,1.92,0.06,3.24,0.72,0.34,0.31,1.44,2.38,2.78,0.65,2.02,0.61,1.2,4.26,1.45,1.14,2.21,0.64,0.61,0.68,1.26
"806","51-3023.00","Slaughterers and Meat Packers",2.02,1.46,0.25,2.65,1.28,0.48,0.69,1.23,0.42,0.46,3.41,0.76,1.4,0.24,2.84,0.33,0.63,0.06,0.91,1.5,2.82,0.91,0.77,0.79,0.97,2.59,1.68,2.5,1.25,0.12,0.42,1.28,1.88
"807","51-3091.00","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2.01,0.04,1.96,1.82,0.85,0.03,1.67,0.4,0.08,0.57,0.9,0.93,1.66,0,3.22,0.03,0.08,0.01,0.03,0.94,2.74,0.02,0.66,0,0.17,3.24,0.1,2.05,0.06,0.01,0.01,0.2,0.65
"808","51-3092.00","Food Batchmakers",2.25,0.62,0.62,3.04,1.23,0.8,2.17,1.69,1.53,0.82,2.69,2,2.69,0.32,3.62,0.36,0.42,0.04,0.93,3.39,3.22,0.46,1.35,0.55,1.15,3.55,1.34,2.86,0.81,0.45,0.31,0.13,0.89
"809","51-3093.00","Food Cooking Machine Operators and Tenders",1.4,0.56,0.15,1.22,0.5,0.76,1.63,2.74,0.43,0.65,2.32,1.16,2.92,0,4.28,0.52,0.06,0,0.18,2,1.47,0.22,0.6,0.28,0.59,2.95,0.4,1.81,1.66,0.33,0.33,0.18,1.37
"810","51-4011.00","Computer-Controlled Machine Tool Operators, Metal and Plastic",2.46,1.29,1.82,3.44,1.94,1.55,3.27,2.48,3.25,1.65,3.18,3.66,2.68,0.37,0.24,1.06,1.5,0.12,1.37,4.12,5.05,1,1.62,0.21,3.65,3.36,0.96,1.76,2.04,0.39,1.26,0.69,1.88
"811","51-4012.00","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",2.85,0.04,2.01,1.81,2.32,1.82,4.14,2.41,4.49,0.67,3.81,4.4,3.26,0,0.16,0.36,0.14,0.49,0.91,5.25,4.85,0.3,1.73,0.36,3.22,3.44,1.51,2.12,1.05,0.58,1,0.68,1.47
"812","51-4021.00","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2.88,0.11,0.26,0.85,1.56,0.44,2.62,1.87,1.63,0.91,1.94,1.87,2.87,0.42,0.11,0.62,0.17,0.49,0.6,2.94,2.03,0.41,1.17,0.51,0.43,4.2,0.21,1.95,0.87,0.59,0.57,0.4,1.3
"813","51-4022.00","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1.22,0.08,0.91,1.73,0.96,1.12,1.73,1.72,2.24,0.85,1.83,2.44,1.52,0,0.16,0.15,0.03,0.08,0.85,3.32,4.02,0.53,0.97,0.71,2.41,3.43,1.23,2.31,0.13,0.52,1.01,0.52,1.23
"814","51-4023.00","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2.13,0.15,0.72,1.65,1.25,1.07,2.38,2.51,0.97,0.52,3.65,1.98,2.59,0,0.13,0.24,0.77,0.52,0.66,2.71,3.72,0.23,1.29,0.52,1.34,3.27,1.58,1.91,0.88,0.5,0.48,0.07,1.07
"815","51-4031.00","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1.75,0.07,0.85,1,0.6,0.18,2.04,1.72,2.47,0.33,2.07,2.67,2.59,0,0.18,0.21,0.1,0.02,0.39,2.83,3.99,0.09,0.35,0.32,1.4,3.06,0.3,1.68,0.36,0.05,0.11,0.02,0.72
"816","51-4032.00","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.48,0.63,0.97,1.71,1.61,0.96,2.7,2.58,3.08,1.37,2.73,3.17,2.57,0.39,0.45,0.6,0.74,0.42,0.72,3.81,4.38,0.4,1.67,0.59,1.48,3.24,1.43,1.86,1.52,0.59,0.96,0.38,1.25
"817","51-4033.00","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.96,0.48,0.62,1.67,1.43,0.63,1.87,2.21,2.86,0.62,2.73,2.81,1.99,0.3,0.09,0.71,0.54,0.05,0.8,3.11,4.16,0.78,1.66,0.8,1.28,3.49,1.54,1.46,0.77,0.83,0.51,0.57,1.16
"818","51-4034.00","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.49,0,0.91,1.31,1.04,0.29,3.02,1.75,3.58,0.62,3.05,3.56,1.65,0.02,0,0.41,0.34,0.09,0.2,4.6,4.79,0.08,0.91,0.32,1.96,3.19,0.52,1.27,1.1,0.06,0.13,0.13,0.9
"819","51-4035.00","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1.55,0,0.11,1.3,1.79,0.29,2.21,2.98,3.32,0.04,2.37,3.04,1.88,0,0,0.12,0.02,0,0.04,4.75,5.13,0,0.72,0,1.6,3.43,0.78,1.51,0.05,0.02,0.73,0.01,0.92
"820","51-4041.00","Machinists",1.89,0.62,2,1.59,1.46,1.15,2.81,1.85,3.44,0.89,2.6,3.5,3.2,0.48,0.66,0.79,0.63,0.56,0.87,4.39,4.76,0.71,1.53,0.61,1.98,3.66,1.39,1.79,1.16,0.81,1,0.85,1.26
"821","51-4051.00","Metal-Refining Furnace Operators and Tenders",2.21,0.04,1.4,3.6,2,0.49,1.42,2.14,1.61,1.69,2.05,2.84,1.43,0.03,0.08,0.69,0.1,0.14,0.15,3.23,3.37,0.18,1.29,0.34,1.46,4.03,0.65,1.7,0.68,0.18,0.39,0.09,0.61
"822","51-4052.00","Pourers and Casters, Metal",2.4,0.07,0.24,1.35,1.13,0.61,0.54,1.31,0.52,0.6,1.48,0.61,1.64,0.06,0.1,0.22,0.38,0.06,0.4,0.84,1.42,0.32,0.58,0.23,0.73,2.33,0.63,1.76,0.25,0.39,0.3,0.17,0.85
"823","51-4061.00","Model Makers, Metal and Plastic",2.74,0.19,1.88,1.47,1.08,0.57,3.71,2.7,3.67,0.6,2.52,3.37,2.32,0.04,0,0.05,0.1,0.08,0.72,3.9,4.89,0.18,1.05,0.11,1.86,3.86,1.09,1.41,0.82,0.11,0.3,0.32,0.97
"824","51-4062.00","Patternmakers, Metal and Plastic",3.16,0.03,1.39,2.55,2.17,1.25,3.86,2.72,4.69,0.59,3.21,4.37,2.01,0,0,0.28,0.11,0.07,0.69,4.24,5.1,0.24,1.76,0.04,2.79,3.7,1.27,2.02,1.15,0.42,0.68,0.23,1.27
"825","51-4071.00","Foundry Mold and Coremakers",2.69,0.05,0.91,2.65,0.91,0.63,1.25,3.15,2.75,0.55,2.97,3.43,1.81,0.06,0,0.18,0.06,0.02,0.93,2.49,3.36,0.61,2.06,0.15,2.53,3.83,1.57,1.87,0.85,0.47,0.35,0.51,0.64
"826","51-4072.00","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.87,0.01,0.26,1.1,0.48,0.28,1.31,0.62,0.38,0.13,1.43,1.29,1.7,0,0.08,0.39,0.03,0,0.12,2.07,2.93,0.15,0.22,0.12,0.5,3.15,0.26,1.13,0.11,0.04,0.08,0.24,0.24
"827","51-4081.00","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.73,0.81,1.47,2.72,1.31,1.32,2.59,1.91,3.41,0.89,2.08,3.44,2.49,0.68,0.5,1.12,0.94,0.59,0.79,4.01,4.65,0.69,0.99,0.76,2.2,3.54,1.51,2.07,1.05,0.95,0.89,1,1.5
"828","51-4111.00","Tool and Die Makers",2.5,0.33,1.85,2.11,2,1.88,3.17,1.51,4.79,0.88,3.59,4.7,3.24,0.17,0.12,0.61,1.34,0.47,0.93,5,5.31,0.69,1.92,1.2,2.67,3.42,2.17,2.53,1.27,0.7,0.77,0.67,1.47
"829","51-4121.06","Welders, Cutters, and Welder Fitters",2.63,0.41,2.97,2.02,1.24,0.61,1.81,2.18,4.04,0.98,2.99,3.44,3.01,0.27,0,0.73,1.07,0.21,1.07,3.4,4.21,0.21,1.66,0.11,2.32,3.59,0.92,1.64,0.84,0.15,0.63,0.01,2.24
"830","51-4121.07","Solderers and Brazers",1.04,0,0.8,1.48,0.84,0.3,1.65,0.97,1.72,0.23,1.43,1.53,1.62,0.09,0.08,0.4,0.31,0,0.54,1.52,1.89,0.72,0.48,0.28,1.2,2.29,1.17,1.34,0.51,0.81,0.16,0.35,0.3
"831","51-4122.00","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2.46,0.65,2.06,1.51,1.04,1.35,1.67,2.02,2.38,1.03,2.92,2.21,2.03,0.19,0.46,0.37,0.93,0.23,0.93,2.96,3.15,1.03,0.95,0.51,1.2,2.68,1.1,1.78,0.74,1.11,1.34,0.82,1.53
"832","51-4191.00","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1.81,1.13,1.5,2.81,2.1,1.96,2.73,2.37,2.3,1.26,3.02,2.65,1.84,0.44,0.44,1.11,0.84,0.53,1.44,2.64,2.85,0.99,1.61,1.16,2.8,3.25,1.37,2.43,1.37,0.44,1.13,0.84,1.74
"833","51-4192.00","Layout Workers, Metal and Plastic",2.46,0,4.18,1.02,1.01,0.93,1.44,1.8,4.45,0.79,3.33,2.74,2.76,0,0,0.25,0.59,0,1.12,4.21,5.1,0.27,1.17,0.26,2.35,3.21,1.41,2.51,0.87,0.39,0.39,0.56,1.06
"834","51-4193.00","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",3.05,0.36,0.53,3.61,1.55,1.15,1.92,1.72,1.45,0.26,3.83,2.72,2.54,0,0,0.09,0,0.08,0.03,3.48,3.04,0.67,1.97,0,1.21,3.59,1.04,3.42,0.85,0.55,0.21,0.32,0.94
"835","51-4194.00","Tool Grinders, Filers, and Sharpeners",2.1,0.21,0.24,0.66,1.15,0.48,0.96,1.93,2.64,1.07,2.28,3.07,2.4,0,0.01,0.47,0,0.01,0.14,2.55,4.37,0.18,0.8,0.04,0.46,3.62,0.45,0.95,0.59,0.11,0.18,0.09,1.33
"836","51-5111.00","Prepress Technicians and Workers",2.48,0,0.48,1.62,2.95,3.76,5.09,3.4,2.47,1.19,3.15,1.62,4.27,2.35,0,0.51,1.14,0.93,1.08,2.7,2.33,0.2,1.78,1.26,0.21,2.61,1.96,1.44,1.72,0.8,1.23,0.27,1.21
"837","51-5112.00","Printing Press Operators",2.31,0.21,0.86,2.32,1.69,0.37,1.4,2.39,2.23,0.69,1.64,1.66,2.89,0.03,0.42,0.37,0.32,0.05,0.25,2.23,3.46,0.21,0.99,0.51,1.25,3.04,0.41,0.72,0.53,0.14,0.17,0.24,0.51
